scenario,run_id,model,config,trial,outcome,stage,detail,observed_1,observed_2
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",1,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",2,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",3,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",4,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",5,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",6,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",7,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",8,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",9,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",10,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",11,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",12,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",13,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",14,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",15,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",16,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",17,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",18,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",19,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",20,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",21,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",22,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",23,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",24,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",25,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",26,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",27,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",28,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=QUORUM",29,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",0,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",1,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",2,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",3,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",4,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",5,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",6,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",7,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",8,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",9,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",10,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",11,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",12,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",13,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",14,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",15,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",16,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",17,PASS,check,"R1 via n1, R2 via n2",1,1
